time,open,high,low,close,Volume
1515708000,1.20321,1.22188,1.2031,1.22012,NaN
1515963600,1.21978,1.22968,1.21877,1.22637,NaN
1516053600,1.22637,1.22834,1.21953,1.22603,NaN
1516140000,1.22603,1.23234,1.21773,1.21858,NaN
1516226400,1.21858,1.2265,1.21652,1.22382,NaN
1516312800,1.22381,1.22955,1.22148,1.22231,NaN
1516568400,1.22734,1.22743,1.2214,1.22619,NaN
1516658400,1.22619,1.23063,1.22232,1.22987,NaN
1516744800,1.22986,1.2415,1.22915,1.24082,NaN
1516831200,1.24086,1.25376,1.23641,1.2396,NaN
1516917600,1.23955,1.24937,1.23705,1.24278,NaN
1517173200,1.24256,1.24325,1.23369,1.23825,NaN
1517263200,1.23825,1.24541,1.23349,1.24025,NaN
1517349600,1.24023,1.2475,1.23871,1.24137,NaN
1517436000,1.24137,1.25226,1.23854,1.25102,NaN
1517522400,1.25102,1.25183,1.24093,1.24574,NaN
1517778000,1.24347,1.2475,1.23629,1.23668,NaN
1517868000,1.23668,1.24347,1.23139,1.23771,NaN
1517954400,1.23771,1.24062,1.22462,1.22639,NaN
1518040800,1.22639,1.2295,1.22122,1.2247,NaN
1518127200,1.2247,1.22875,1.22057,1.22514,NaN
1518382800,1.22468,1.22975,1.22353,1.22918,NaN
1518472800,1.22918,1.23712,1.22845,1.23516,NaN
1518559200,1.23516,1.24653,1.22761,1.24509,NaN
1518645600,1.24505,1.25104,1.24481,1.25064,NaN
1518732000,1.2506,1.25555,1.23934,1.24054,NaN
1518987600,1.24008,1.24352,1.23692,1.24075,NaN
1519077600,1.24075,1.24125,1.232,1.23378,NaN
1519164000,1.23377,1.236,1.22812,1.22833,NaN
1519250400,1.22831,1.23523,1.22597,1.2331,NaN
1519336800,1.23308,1.23373,1.22799,1.22951,NaN
1519592400,1.22912,1.23552,1.22779,1.23174,NaN
1519682400,1.23175,1.23466,1.22217,1.22331,NaN
1519768800,1.22333,1.22418,1.21881,1.21939,NaN
1519855200,1.21941,1.22732,1.21547,1.22668,NaN
1519941600,1.22666,1.2336,1.22516,1.23175,NaN
1520197200,1.23559,1.2365,1.2269,1.2336,NaN
1520287200,1.2336,1.24202,1.23282,1.24043,NaN
1520373600,1.24044,1.24449,1.23849,1.24115,NaN
1520460000,1.24112,1.24462,1.2298,1.23118,NaN
1520546400,1.23118,1.23344,1.22731,1.23068,NaN
1520802000,1.23135,1.23457,1.22906,1.23349,NaN
1520892000,1.23349,1.24076,1.23146,1.23922,NaN
1520978400,1.23922,1.24127,1.23472,1.23685,NaN
1521064800,1.23683,1.23837,1.23004,1.23048,NaN
1521151200,1.23048,1.23364,1.22603,1.22895,NaN
1521406800,1.22855,1.23588,1.22582,1.23347,NaN
1521496800,1.23347,1.23547,1.22397,1.22439,NaN
1521583200,1.22439,1.23499,1.22419,1.23389,NaN
1521669600,1.23389,1.23886,1.22856,1.23065,NaN
1521756000,1.23068,1.23734,1.23066,1.23532,NaN
1522008000,1.23439,1.24617,1.23439,1.24439,NaN
1522098000,1.24437,1.24766,1.23726,1.24027,NaN
1522184400,1.24027,1.24218,1.23003,1.23089,NaN
1522270800,1.23085,1.23357,1.2284,1.23005,NaN
1522357200,1.23005,1.23179,1.22908,1.23069,NaN
1522612800,1.23228,1.2345,1.22817,1.23021,NaN
1522702800,1.23021,1.23357,1.22538,1.22705,NaN
1522789200,1.22705,1.23147,1.22571,1.2278,NaN
1522875600,1.2278,1.22903,1.22184,1.22403,NaN
1522962000,1.22403,1.22909,1.22152,1.22813,NaN
1523217600,1.22778,1.23308,1.22605,1.23208,NaN
1523307600,1.23209,1.23778,1.23029,1.23559,NaN
1523394000,1.23559,1.23965,1.23472,1.23671,NaN
1523480400,1.23671,1.23797,1.22994,1.23268,NaN
1523566800,1.23266,1.23461,1.23072,1.23308,NaN
1523822400,1.23328,1.23948,1.23242,1.23795,NaN
1523912400,1.23797,1.24138,1.23364,1.23698,NaN
1523998800,1.23698,1.23974,1.23418,1.23739,NaN
1524085200,1.23738,1.24003,1.23292,1.23457,NaN
1524171600,1.23457,1.2353,1.225,1.22881,NaN
1524427200,1.22665,1.22896,1.21977,1.22088,NaN
1524517200,1.22088,1.22449,1.21819,1.22325,NaN
1524603600,1.22325,1.22389,1.21603,1.21608,NaN
1524690000,1.21608,1.22099,1.20964,1.21034,NaN
1524776400,1.21034,1.21329,1.20556,1.21306,NaN
1525032000,1.21265,1.21389,1.20644,1.20776,NaN
1525122000,1.20776,1.20843,1.19814,1.19926,NaN
1525208400,1.19926,1.20318,1.1938,1.1951,NaN
1525294800,1.1951,1.20089,1.19478,1.19885,NaN
1525381200,1.19885,1.19957,1.19107,1.19595,NaN
1525636800,1.19579,1.19782,1.18977,1.19222,NaN
1525726800,1.19222,1.19389,1.18382,1.18647,NaN
1525813200,1.18645,1.18972,1.18229,1.18484,NaN
1525899600,1.18484,1.19466,1.18432,1.19153,NaN
1525986000,1.19153,1.19681,1.18913,1.19439,NaN
1526241600,1.19475,1.19962,1.19263,1.1927,NaN
1526331600,1.1927,1.19386,1.18204,1.18377,NaN
1526418000,1.18377,1.18542,1.17635,1.18075,NaN
1526504400,1.18073,1.18376,1.17767,1.17945,NaN
1526590800,1.17945,1.18222,1.17497,1.17708,NaN
1526846400,1.17761,1.17957,1.17167,1.17915,NaN
1526936400,1.17915,1.183,1.17566,1.17789,NaN
1527022800,1.17786,1.17897,1.16758,1.16962,NaN
1527109200,1.16962,1.17503,1.16908,1.17195,NaN
1527195600,1.17195,1.17337,1.16459,1.1652,NaN
1527451200,1.16875,1.17285,1.16077,1.16245,NaN
1527541200,1.16245,1.16398,1.151,1.15396,NaN
1527627600,1.15397,1.16764,1.15187,1.16659,NaN
1527714000,1.16659,1.17244,1.16413,1.1693,NaN
1527800400,1.1693,1.17182,1.16172,1.16598,NaN
1528056000,1.16575,1.17446,1.16575,1.16988,NaN
1528146000,1.16988,1.17324,1.16527,1.17178,NaN
1528232400,1.17178,1.17959,1.17134,1.1774,NaN
1528318800,1.1774,1.18401,1.17731,1.17991,NaN
1528405200,1.1799,1.18104,1.17272,1.1769,NaN
1528660800,1.17747,1.18207,1.17713,1.1784,NaN
1528750800,1.1784,1.18092,1.17333,1.17453,NaN
1528837200,1.17453,1.18011,1.17256,1.17914,NaN
1528923600,1.17914,1.18515,1.15636,1.15685,NaN
1529010000,1.15685,1.16271,1.15434,1.16101,NaN
1529265600,1.1602,1.16245,1.15655,1.1623,NaN
1529355600,1.1623,1.16447,1.15309,1.15894,NaN
1529442000,1.15894,1.16001,1.15367,1.15715,NaN
1529528400,1.15713,1.16337,1.15084,1.16034,NaN
1529614800,1.16035,1.16751,1.16008,1.16547,NaN
1529870400,1.16566,1.17132,1.16287,1.17039,NaN
1529960400,1.17039,1.17206,1.1635,1.16475,NaN
1530046800,1.16476,1.16723,1.15408,1.15537,NaN
1530133200,1.15539,1.16005,1.15273,1.15688,NaN
1530219600,1.15688,1.16906,1.15584,1.1685,NaN
1530475200,1.1635,1.16927,1.15914,1.16395,NaN
1530565200,1.16395,1.16732,1.16206,1.16578,NaN
1530651600,1.16578,1.16818,1.16307,1.16566,NaN
1530738000,1.16566,1.17204,1.165,1.16908,NaN
1530824400,1.16908,1.17675,1.16802,1.17474,NaN
1531080000,1.175,1.17908,1.17327,1.17509,NaN
1531170000,1.17509,1.17628,1.16904,1.1745,NaN
1531256400,1.17449,1.17583,1.16655,1.16734,NaN
1531342800,1.16734,1.16958,1.16497,1.16713,NaN
1531429200,1.16713,1.16874,1.1613,1.16851,NaN
1531684800,1.16905,1.17254,1.16757,1.17113,NaN
1531774800,1.17113,1.17447,1.16497,1.16613,NaN
1531861200,1.16615,1.16651,1.1602,1.16385,NaN
1531947600,1.16385,1.16785,1.15749,1.16419,NaN
1532034000,1.16419,1.1739,1.16265,1.17248,NaN
1532289600,1.17338,1.17506,1.16839,1.16921,NaN
1532379600,1.16921,1.1717,1.16547,1.16882,NaN
1532466000,1.1687,1.17387,1.16641,1.17285,NaN
1532552400,1.17285,1.17437,1.16405,1.16429,NaN
1532638800,1.16429,1.16644,1.16206,1.16577,NaN
1532894400,1.16583,1.17189,1.16482,1.1706,NaN
1532984400,1.1706,1.17459,1.16844,1.16911,NaN
1533070800,1.16911,1.16998,1.16574,1.16599,NaN
